"go"	"desc"	"cat"	"count"	"pct"	"p"	"total"	"pop_hit"	"pop_total"	"fold"	"bonferroni"	"benjamini"	"fdr"	"group"
"GO:0048471"	"perinuclear region of cytoplasm"	"GOTERM_CC_DIRECT"	18	8.07174887892377	0.00128761590390413	218	621	18224	2.42308203696317	0.348034698519344	0.0323694407636836	1.73314830189244	"same"
"GO:0043234"	"protein complex"	"GOTERM_CC_DIRECT"	14	6.2780269058296	0.00137143340672394	218	412	18224	2.84065199964372	0.365950590423314	0.0320209991920594	1.8449974962418	"same"
"GO:0038061"	"NIK/NF-kappaB signaling"	"GOTERM_BP_DIRECT"	6	2.69058295964126	0.00149451603050058	214	66	16792	7.13338997451147	0.823324352761512	0.145796164062484	2.37873394539712	"same"
"GO:0000166"	"nucleotide binding"	"GOTERM_MF_DIRECT"	13	5.82959641255605	0.00165674600160759	215	348	16881	2.93307939053729	0.489924583509386	0.0720706050148157	2.29111209556843	"same"
"GO:0006413"	"translational initiation"	"GOTERM_BP_DIRECT"	8	3.58744394618834	0.00183230067241572	214	137	16792	4.58203151647452	0.880636811485161	0.162330825088573	2.90896247777485	"same"
"GO:0000086"	"G2/M transition of mitotic cell cycle"	"GOTERM_BP_DIRECT"	8	3.58744394618834	0.00183230067241572	214	137	16792	4.58203151647452	0.880636811485161	0.162330825088573	2.90896247777485	"same"
"GO:0031647"	"regulation of protein stability"	"GOTERM_BP_DIRECT"	6	2.69058295964126	0.00194303483064614	214	70	16792	6.72576769025367	0.895039169587651	0.159196705976026	3.08219580761748	"same"
"GO:0007265"	"Ras protein signal transduction"	"GOTERM_BP_DIRECT"	6	2.69058295964126	0.00194303483064614	214	70	16792	6.72576769025367	0.895039169587651	0.159196705976026	3.08219580761748	"same"
"GO:0030234"	"enzyme regulator activity"	"GOTERM_MF_DIRECT"	4	1.79372197309417	0.00195297521455923	215	20	16881	15.7032558139535	0.547823736397724	0.076300356327221	2.69559454270236	"same"
"GO:0051436"	"negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle"	"GOTERM_BP_DIRECT"	6	2.69058295964126	0.00206903104666301	214	71	16792	6.63103856785573	0.909326595131927	0.157569115331641	3.27895262734601	"same"
"GO:0006457"	"protein folding"	"GOTERM_BP_DIRECT"	9	4.03587443946188	0.00213391321453142	214	180	16792	3.92336448598131	0.915908347898348	0.152154227599535	3.38012701182676	"same"
"GO:0004672"	"protein kinase activity"	"GOTERM_MF_DIRECT"	13	5.82959641255605	0.00215243903042422	215	359	16881	2.84320787717821	0.583067981581174	0.0764498629219168	2.96707346877747	"same"
"GO:0002223"	"stimulatory C-type lectin receptor signaling pathway"	"GOTERM_BP_DIRECT"	7	3.1390134529148	0.00220387953020829	214	105	16792	5.23115264797508	0.922471928754479	0.147702555581662	3.48911815764683	"same"
"GO:0016241"	"regulation of macroautophagy"	"GOTERM_BP_DIRECT"	5	2.24215246636771	0.00229682396053621	214	44	16792	8.91673746813934	0.930406266658275	0.145098871669041	3.63372550460697	"same"
"GO:0045893"	"positive regulation of transcription, DNA-templated"	"GOTERM_BP_DIRECT"	16	7.17488789237668	0.00244392081627634	214	515	16792	2.43781870973596	0.941338467093696	0.145769272609802	3.86217052680421	"same"
"GO:0006283"	"transcription-coupled nucleotide-excision repair"	"GOTERM_BP_DIRECT"	6	2.69058295964126	0.00248282060847278	214	74	16792	6.36221267996969	0.943930723803847	0.1407027569586	3.92249788380995	"same"
"GO:1900034"	"regulation of cellular response to heat"	"GOTERM_BP_DIRECT"	6	2.69058295964126	0.00263321271911715	214	75	16792	6.27738317757009	0.952920553423143	0.141695148293273	4.15539818610751	"same"
"GO:0051082"	"unfolded protein binding"	"GOTERM_MF_DIRECT"	7	3.1390134529148	0.00277662258582465	215	110	16881	4.99649048625793	0.676603685637343	0.0897837412280924	3.81207764609151	"same"
"GO:0050852"	"T cell receptor signaling pathway"	"GOTERM_BP_DIRECT"	8	3.58744394618834	0.00283357065773388	214	148	16792	4.24147511997979	0.962700303053609	0.144960916086667	4.46485406408391	"same"
"GO:0005525"	"GTP binding"	"GOTERM_MF_DIRECT"	13	5.82959641255605	0.00372856789023375	215	384	16881	2.65810319767442	0.780549316559997	0.110115564965835	5.08765094012631	"same"
"GO:0006521"	"regulation of cellular amino acid metabolic process"	"GOTERM_BP_DIRECT"	5	2.24215246636771	0.00394671750906817	214	51	16792	7.69287154113982	0.989778848624356	0.188062277547956	6.16713061690949	"same"
"GO:0045070"	"positive regulation of viral genome replication"	"GOTERM_BP_DIRECT"	4	1.79372197309417	0.00421901779799471	214	26	16792	12.0718907260963	0.992554801102802	0.191885530860333	6.57919247177471	"same"
"GO:0043161"	"proteasome-mediated ubiquitin-dependent protein catabolic process"	"GOTERM_BP_DIRECT"	9	4.03587443946188	0.00444357385649499	214	203	16792	3.47884535702776	0.99426735666389	0.193511606305743	6.91772726665645	"same"
"GO:0015629"	"actin cytoskeleton"	"GOTERM_CC_DIRECT"	9	4.03587443946188	0.00468989875495393	218	218	18224	3.4512246443902	0.790012870392977	0.0988173017544859	6.17968754216001	"same"
"GO:0032008"	"positive regulation of TOR signaling"	"GOTERM_BP_DIRECT"	4	1.79372197309417	0.00470248290720866	214	27	16792	11.6247836621668	0.995759324427434	0.196293645768097	7.30662359455873	"same"
"GO:0000977"	"RNA polymerase II regulatory region sequence-specific DNA binding"	"GOTERM_MF_DIRECT"	9	4.03587443946188	0.00511889584372754	215	208	16881	3.39733899821109	0.875519868620909	0.138283738879411	6.92244436590098	"same"
"GO:0000502"	"proteasome complex"	"GOTERM_CC_DIRECT"	5	2.24215246636771	0.00566502722433293	218	60	18224	6.96636085626911	0.84834341215351	0.111200441853444	7.419307885722	"same"
"GO:0006364"	"rRNA processing"	"GOTERM_BP_DIRECT"	9	4.03587443946188	0.0060727407096444	214	214	16792	3.30002620316185	0.999141019471257	0.237787123093552	9.33958180476654	"same"
"GO:0051592"	"response to calcium ion"	"GOTERM_BP_DIRECT"	5	2.24215246636771	0.00625585314237077	214	58	16792	6.76442152755398	0.999306186912587	0.236148420459155	9.60806367000126	"same"
"GO:0031965"	"nuclear membrane"	"GOTERM_CC_DIRECT"	9	4.03587443946188	0.00626367376356788	218	229	18224	3.28544529465967	0.875827033344635	0.115480373323231	8.17279567662102	"same"
"GO:0003684"	"damaged DNA binding"	"GOTERM_MF_DIRECT"	5	2.24215246636771	0.0083471778526429	215	63	16881	6.23145071982281	0.966732605801514	0.202982386742937	11.0565011800801	"same"
"GO:0002479"	"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent"	"GOTERM_BP_DIRECT"	5	2.24215246636771	0.00836368953596988	214	63	16792	6.22756267616081	0.999940781727353	0.293655974248726	12.64538046397	"same"
"GO:0008540"	"proteasome regulatory particle, base subcomplex"	"GOTERM_CC_DIRECT"	3	1.34529147982063	0.00861083582255193	218	12	18224	20.8990825688073	0.943367764670171	0.147438412714039	11.0725955000987	"same"
"GO:0019901"	"protein kinase binding"	"GOTERM_MF_DIRECT"	12	5.38116591928251	0.008689180111859	215	376	16881	2.50583869371598	0.971080043017234	0.198645181491406	11.4843255160024	"same"
"GO:0007050"	"cell cycle arrest"	"GOTERM_BP_DIRECT"	7	3.1390134529148	0.00923627914778208	214	141	16792	3.89553920593889	0.999978652812132	0.30985112911089	13.8745139068401	"same"
"GO:0032801"	"receptor catabolic process"	"GOTERM_BP_DIRECT"	3	1.34529147982063	0.00972097522000314	214	12	16792	19.6168224299065	0.999987893027064	0.314352043909447	14.5502325798591	"same"
"GO:0071902"	"positive regulation of protein serine/threonine kinase activity"	"GOTERM_BP_DIRECT"	4	1.79372197309417	0.0097703412378934	214	35	16792	8.96769025367156	0.999988572722505	0.307246387535483	14.6187744329175	"same"
"GO:0003924"	"GTPase activity"	"GOTERM_MF_DIRECT"	9	4.03587443946188	0.0101861452569216	215	234	16881	3.01985688729875	0.984342134370013	0.216916996736663	13.3345514546021	"same"
"GO:0006296"	"nucleotide-excision repair, DNA incision, 5'-to lesion"	"GOTERM_BP_DIRECT"	4	1.79372197309417	0.0113866651305854	214	37	16792	8.48295023995959	0.999998279431675	0.339512279815181	16.8346728956555	"same"
"GO:0042147"	"retrograde transport, endosome to Golgi"	"GOTERM_BP_DIRECT"	5	2.24215246636771	0.0114478862283149	214	69	16792	5.68603548692943	0.999998398597299	0.332611368083244	16.9175342078736	"same"
"GO:0033683"	"nucleotide-excision repair, DNA incision"	"GOTERM_BP_DIRECT"	4	1.79372197309417	0.0122490871280872	214	38	16792	8.25971470732907	0.999999374276247	0.343037370546687	17.9948280047746	"same"
"GO:0031011"	"Ino80 complex"	"GOTERM_CC_DIRECT"	3	1.34529147982063	0.0133816810497825	218	15	18224	16.7192660550459	0.988583681526797	0.209749953095036	16.7071304345082	"same"
"GO:0007067"	"mitotic nuclear division"	"GOTERM_BP_DIRECT"	9	4.03587443946188	0.014149721523014	214	248	16792	2.84760325595418	0.999999932871547	0.376186921836401	20.4982469668986	"same"
"GO:0016032"	"viral process"	"GOTERM_BP_DIRECT"	10	4.48430493273543	0.0143331564997677	214	299	16792	2.62432407089051	0.999999945894526	0.371731061032624	20.7360272717771	"same"
"GO:0048255"	"mRNA stabilization"	"GOTERM_BP_DIRECT"	3	1.34529147982063	0.0150840284715285	214	15	16792	15.6934579439252	0.999999977630838	0.378796668577659	21.7024205090571	"same"
"GO:1904874"	"positive regulation of telomerase RNA localization to Cajal body"	"GOTERM_BP_DIRECT"	3	1.34529147982063	0.0150840284715285	214	15	16792	15.6934579439252	0.999999977630838	0.378796668577659	21.7024205090571	"same"
"GO:0016236"	"macroautophagy"	"GOTERM_BP_DIRECT"	5	2.24215246636771	0.0158704599753628	214	76	16792	5.16232169208067	0.999999991137045	0.386104891784624	22.7027251245365	"same"
"GO:0051437"	"positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition"	"GOTERM_BP_DIRECT"	5	2.24215246636771	0.0158704599753628	214	76	16792	5.16232169208067	0.999999991137045	0.386104891784624	22.7027251245365	"same"
"GO:0031072"	"heat shock protein binding"	"GOTERM_MF_DIRECT"	4	1.79372197309417	0.0160409472284982	215	42	16881	7.47774086378737	0.998591773697742	0.305626858358622	20.2315928401293	"same"
"GO:0016925"	"protein sumoylation"	"GOTERM_BP_DIRECT"	6	2.69058295964126	0.0167155024030282	214	117	16792	4.02396357536544	0.999999996725208	0.394044672757329	23.7642144144822	"same"
"GO:0005852"	"eukaryotic translation initiation factor 3 complex"	"GOTERM_CC_DIRECT"	3	1.34529147982063	0.0170643723505881	218	17	18224	14.7522935779817	0.996701431413456	0.248521991216609	20.8283326904504	"same"
"GO:0033209"	"tumor necrosis factor-mediated signaling pathway"	"GOTERM_BP_DIRECT"	6	2.69058295964126	0.0172807183124044	214	118	16792	3.98986218913353	0.999999998318239	0.396546090405762	24.4665562269832	"same"
"GO:0090090"	"negative regulation of canonical Wnt signaling pathway"	"GOTERM_BP_DIRECT"	7	3.1390134529148	0.0178381554379651	214	163	16792	3.3697609082048	0.999999999128706	0.398786936125499	25.1532846068556	"same"
"GO:0000184"	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	"GOTERM_BP_DIRECT"	6	2.69058295964126	0.0178584681709594	214	119	16792	3.95633393544334	0.999999999149343	0.391806497399442	25.1781977259568	"same"
"GO:0031145"	"anaphase-promoting complex-dependent catabolic process"	"GOTERM_BP_DIRECT"	5	2.24215246636771	0.0180523743074036	214	79	16792	4.96628415947001	0.999999999323344	0.387998138958098	25.4156281618001	"same"
"GO:0051087"	"chaperone binding"	"GOTERM_MF_DIRECT"	5	2.24215246636771	0.0195686694350186	215	81	16881	4.84668389319552	0.999672376145524	0.344460732751921	24.1375299519726	"same"
"GO:0000777"	"condensed chromosome kinetochore"	"GOTERM_CC_DIRECT"	5	2.24215246636771	0.0201987964074879	218	87	18224	4.80438679742697	0.998857633185275	0.27573832660135	24.1863219408856	"same"
"GO:0006310"	"DNA recombination"	"GOTERM_BP_DIRECT"	5	2.24215246636771	0.0212389798135387	214	83	16792	4.7269451638329	0.999999999984359	0.431912963255396	29.2176909850921	"same"
"GO:0071230"	"cellular response to amino acid stimulus"	"GOTERM_BP_DIRECT"	4	1.79372197309417	0.0216733856344348	214	47	16792	6.67806721018095	0.99999999999065	0.431269211982246	29.7216870790667	"same"
"GO:0004674"	"protein serine/threonine kinase activity"	"GOTERM_MF_DIRECT"	11	4.93273542600897	0.0219916812213145	215	376	16881	2.29701880257298	0.999880029400381	0.363272303240268	26.7166233474926	"same"
"GO:0000145"	"exocyst"	"GOTERM_CC_DIRECT"	3	1.34529147982063	0.0232903079901819	218	20	18224	12.5394495412844	0.999599921601795	0.299267839527896	27.3686766916193	"same"
"GO:0000398"	"mRNA splicing, via spliceosome"	"GOTERM_BP_DIRECT"	8	3.58744394618834	0.0233700184050424	214	222	16792	2.82765007998653	0.999999999998749	0.448885323383317	31.6580517809145	"same"
"GO:0034515"	"proteasome storage granule"	"GOTERM_CC_DIRECT"	2	0.896860986547085	0.0236736098485239	218	2	18224	83.5963302752294	0.999648804087581	0.292369574119547	27.7545006023109	"same"
"GO:0016706"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors"	"GOTERM_MF_DIRECT"	3	1.34529147982063	0.0237381860323786	215	19	16881	12.3973072215422	0.999941934418439	0.371533914131316	28.5248814552653	"same"
"GO:0043314"	"negative regulation of neutrophil degranulation"	"GOTERM_BP_DIRECT"	2	0.896860986547085	0.0252090699247924	214	2	16792	78.4672897196262	0.999999999999859	0.467202956090012	33.7003857217639	"same"
"GO:0002692"	"negative regulation of cellular extravasation"	"GOTERM_BP_DIRECT"	2	0.896860986547085	0.0252090699247924	214	2	16792	78.4672897196262	0.999999999999859	0.467202956090012	33.7003857217639	"same"
"GO:0000139"	"Golgi membrane"	"GOTERM_CC_DIRECT"	14	6.2780269058296	0.0256040386883476	218	591	18224	1.98028531954858	0.999817955411225	0.301487674299437	29.6689377048157	"same"
"GO:0038095"	"Fc-epsilon receptor signaling pathway"	"GOTERM_BP_DIRECT"	7	3.1390134529148	0.0261470346938398	214	178	16792	3.08579229234485	0.999999999999954	0.47257181203637	34.7198507763806	"same"
"GO:0005096"	"GTPase activator activity"	"GOTERM_MF_DIRECT"	9	4.03587443946188	0.0261770012959099	215	279	16881	2.53278319579895	0.999978967496273	0.387079516916201	30.9806879649227	"same"
"GO:0006397"	"mRNA processing"	"GOTERM_BP_DIRECT"	7	3.1390134529148	0.0268697793790909	214	179	16792	3.06855322925912	0.99999999999998	0.474942352809767	35.4953462251669	"same"
"GO:0003682"	"chromatin binding"	"GOTERM_MF_DIRECT"	11	4.93273542600897	0.0277716221924061	215	391	16881	2.20889787664307	0.999989187476196	0.391747663412117	32.5438089841533	"same"
"GO:0000790"	"nuclear chromatin"	"GOTERM_CC_DIRECT"	7	3.1390134529148	0.0282221067585133	218	193	18224	3.03199125350573	0.999925484085315	0.316261615564389	32.1902915151496	"same"
"GO:0070412"	"R-SMAD binding"	"GOTERM_MF_DIRECT"	3	1.34529147982063	0.028674706155919	215	21	16881	11.2166112956811	0.999992585746193	0.388702231587852	33.4144103602698	"same"
"GO:0008601"	"protein phosphatase type 2A regulator activity"	"GOTERM_MF_DIRECT"	3	1.34529147982063	0.028674706155919	215	21	16881	11.2166112956811	0.999992585746193	0.388702231587852	33.4144103602698	"same"
"GO:0006293"	"nucleotide-excision repair, preincision complex stabilization"	"GOTERM_BP_DIRECT"	3	1.34529147982063	0.0287061105338657	214	21	16792	11.2096128170895	0.999999999999998	0.490917440830249	37.4270194345933	"same"
"GO:0045727"	"positive regulation of translation"	"GOTERM_BP_DIRECT"	4	1.79372197309417	0.0296384770006985	214	53	16792	5.92205960148122	0.999999999999999	0.4952702367279	38.3868987897526	"same"
"GO:0015031"	"protein transport"	"GOTERM_BP_DIRECT"	11	4.93273542600897	0.0296681683419593	214	395	16792	2.1851650301668	0.999999999999999	0.488938538174362	38.4172381813504	"same"
"GO:0000209"	"protein polyubiquitination"	"GOTERM_BP_DIRECT"	7	3.1390134529148	0.0300929455201341	214	184	16792	2.98516863063795	1	0.487356772182056	38.8497554054059	"same"
"GO:0003697"	"single-stranded DNA binding"	"GOTERM_MF_DIRECT"	5	2.24215246636771	0.0305818088701262	215	93	16881	4.22130532633158	0.999996661641375	0.396132968649026	35.2187495107475	"same"
"GO:0032465"	"regulation of cytokinesis"	"GOTERM_BP_DIRECT"	3	1.34529147982063	0.0313173450850519	214	22	16792	10.7000849617672	1	0.494856756581178	40.0805782785706	"same"
"GO:0006468"	"protein phosphorylation"	"GOTERM_BP_DIRECT"	12	5.38116591928251	0.03137198432309	214	456	16792	2.06492867683227	1	0.489153073811667	40.1349588388813	"same"
"GO:0008168"	"methyltransferase activity"	"GOTERM_MF_DIRECT"	5	2.24215246636771	0.0316348074433401	215	94	16881	4.17639782285997	0.999997852648021	0.394664312657444	36.1954488785589	"same"
"GO:0042470"	"melanosome"	"GOTERM_CC_DIRECT"	5	2.24215246636771	0.0326329287521383	218	101	18224	4.13843219184304	0.999983544479025	0.345345758494862	36.2496442205596	"same"
"GO:0006295"	"nucleotide-excision repair, DNA incision, 3'-to lesion"	"GOTERM_BP_DIRECT"	3	1.34529147982063	0.0340185051057666	214	23	16792	10.234863876473	1	0.511451163054222	42.7142196941922	"same"
"GO:0001731"	"formation of translation preinitiation complex"	"GOTERM_BP_DIRECT"	3	1.34529147982063	0.0340185051057666	214	23	16792	10.234863876473	1	0.511451163054222	42.7142196941922	"same"
"GO:0043231"	"intracellular membrane-bounded organelle"	"GOTERM_CC_DIRECT"	13	5.82959641255605	0.0353908164428052	218	558	18224	1.9475847555161	0.999993622327045	0.357933393442029	38.6721400679499	"same"
"GO:0006297"	"nucleotide-excision repair, DNA gap filling"	"GOTERM_BP_DIRECT"	3	1.34529147982063	0.0368069122197937	214	24	16792	9.80841121495327	1	0.533514375808286	45.3187804708548	"same"
"GO:0048306"	"calcium-dependent protein binding"	"GOTERM_MF_DIRECT"	4	1.79372197309417	0.0372440558512017	215	58	16881	5.414915797915	0.999999796960412	0.434890485477909	41.1718761811235	"same"
"GO:0060313"	"negative regulation of blood vessel remodeling"	"GOTERM_BP_DIRECT"	2	0.896860986547085	0.0375753872620827	214	3	16792	52.3115264797508	1	0.534819822250903	46.0168181938373	"same"
"GO:0003743"	"translation initiation factor activity"	"GOTERM_MF_DIRECT"	4	1.79372197309417	0.0422723714870703	215	61	16881	5.14860846359131	0.999999975775292	0.465424274826337	45.3241297579018	"same"
"GO:0048208"	"COPII vesicle coating"	"GOTERM_BP_DIRECT"	4	1.79372197309417	0.0423338883406145	214	61	16792	5.1453960471886	1	0.5724677391427	50.1564898170512	"same"
"GO:0019013"	"viral nucleocapsid"	"GOTERM_CC_DIRECT"	3	1.34529147982063	0.0435561436300781	218	28	18224	8.956749672346	0.99999962073045	0.410238098994765	45.3536943629161	"same"
"GO:0008283"	"cell proliferation"	"GOTERM_BP_DIRECT"	10	4.48430493273543	0.0440080588925273	214	366	16792	2.14391501966192	1	0.58078105549848	51.5407267550489	"same"
"GO:0006891"	"intra-Golgi vesicle-mediated transport"	"GOTERM_BP_DIRECT"	3	1.34529147982063	0.0456696206927874	214	27	16792	8.71858774662513	1	0.588588685963565	52.8788265172188	"same"
"GO:0071339"	"MLL1 complex"	"GOTERM_CC_DIRECT"	3	1.34529147982063	0.0464238300166753	218	29	18224	8.64789623536855	0.999999860044717	0.419697016628696	47.5355580761225	"same"
"GO:0032403"	"protein complex binding"	"GOTERM_MF_DIRECT"	7	3.1390134529148	0.0475651442791682	215	206	16881	2.66802890042899	0.99999999744657	0.494531694451374	49.3996304115443	"same"
"GO:0043388"	"positive regulation of DNA binding"	"GOTERM_BP_DIRECT"	3	1.34529147982063	0.048781277300029	214	28	16792	8.40720961281709	1	0.607370057238209	55.292010220661	"same"
"GO:0004004"	"ATP-dependent RNA helicase activity"	"GOTERM_MF_DIRECT"	4	1.79372197309417	0.0494772708705728	215	65	16881	4.831771019678	0.999999998870783	0.49677842617303	50.8012796535223	"same"
"GO:0090309"	"positive regulation of methylation-dependent chromatin silencing"	"GOTERM_BP_DIRECT"	2	0.896860986547085	0.0497855512100827	214	4	16792	39.2336448598131	1	0.60916954489275	56.0457772036471	"same"
"GO:1903800"	"positive regulation of production of miRNAs involved in gene silencing by miRNA"	"GOTERM_BP_DIRECT"	2	0.896860986547085	0.0497855512100827	214	4	16792	39.2336448598131	1	0.60916954489275	56.0457772036471	"same"
"GO:0005768"	"endosome"	"GOTERM_CC_DIRECT"	7	3.1390134529148	0.0519012714103691	218	225	18224	2.6007747196738	0.999999979327961	0.445570780600548	51.48044666114	"same"
"GO:0019888"	"protein phosphatase regulator activity"	"GOTERM_MF_DIRECT"	3	1.34529147982063	0.0519125951740145	215	29	16881	8.12237369687249	0.999999999601488	0.502505341104716	52.5342660723808	"same"
"GO:0019083"	"viral transcription"	"GOTERM_BP_DIRECT"	5	2.24215246636771	0.0543111829873409	214	112	16792	3.50300400534045	1	0.636239090505893	59.2970385591849	"same"
"GO:0007059"	"chromosome segregation"	"GOTERM_BP_DIRECT"	4	1.79372197309417	0.0553263209886074	214	68	16792	4.61572292468389	1	0.637543621201208	59.9946686955771	"same"
